overall_rank,position,position_rank,player_name,team,salary_value,bye_week
1,WR,WR1,Ja'Marr Chase,CIN,57,10
2,RB,RB1,Bijan Robinson,ATL,56,5
3,WR,WR2,Justin Jefferson,MIN,55,6
4,RB,RB2,Saquon Barkley,PHI,55,9
5,RB,RB3,Jahmyr Gibbs,DET,54,8
6,WR,WR3,CeeDee Lamb,DAL,53,10
7,RB,RB4,Christian McCaffrey,SF,53,14
8,WR,WR4,Puka Nacua,LAR,52,8
9,WR,WR5,Malik Nabers,NYG,51,14
10,WR,WR6,Amon-Ra St. Brown,DET,50,8
11,RB,RB5,Derrick Henry,BAL,48,7
12,RB,RB6,Ashton Jeanty,LV,46,8
13,WR,WR7,Nico Collins,HOU,45,6
14,WR,WR8,Brian Thomas Jr.,JAC,43,8
15,WR,WR9,A.J. Brown,PHI,42,9
16,WR,WR10,Drake London,ATL,40,5
17,RB,RB7,Jonathan Taylor,IND,38,11
18,RB,RB8,De'Von Achane,MIA,37,12
19,RB,RB9,Josh Jacobs,GB,36,5
20,TE,TE1,Brock Bowers,LV,35,8
21,TE,TE2,Trey McBride,ARI,34,8
22,RB,RB10,Kyren Williams,LAR,33,8
23,RB,RB11,Bucky Irving,TB,32,9
24,WR,WR11,Tee Higgins,CIN,32,10
25,WR,WR12,Tyreek Hill,MIA,31,12
26,WR,WR13,Davante Adams,LAR,30,8
27,WR,WR14,Ladd McConkey,LAC,30,12
28,QB,QB1,Josh Allen,BUF,29,7
29,QB,QB2,Lamar Jackson,BAL,28,7
30,QB,QB3,Jayden Daniels,WAS,27,12
31,QB,QB4,Jalen Hurts,PHI,26,9
32,RB,RB12,Chase Brown,CIN,25,10
33,RB,RB13,James Cook,BUF,24,7
34,WR,WR15,Terry McLaurin,WAS,23,12
35,WR,WR16,Mike Evans,TB,22,9
36,WR,WR17,Jaxon Smith-Njigba,SEA,22,8
37,RB,RB14,Omarion Hampton,LAC,22,12
38,RB,RB15,Kenneth Walker III,SEA,21,8
39,QB,QB5,Joe Burrow,CIN,21,10
40,TE,TE3,George Kittle,SF,20,14
41,RB,RB16,Chuba Hubbard,CAR,19,14
42,RB,RB17,Alvin Kamara,NO,19,11
43,RB,RB18,James Conner,ARI,18,8
44,RB,RB19,TreVeyon Henderson,NE,17,14
45,RB,RB20,Breece Hall,NYJ,17,9
46,WR,WR18,Xavier Worthy,KC,15,10
