RANK,POSITION,CBS,SLEEPER,RTSPORTS,ADP,SCRAPE_DATE,SOURCE,PLAYER,TEAM,BYE_WEEK
1,WR1,,1.0,1.0,1.0,2025-08-15 10:46:11,FantasyPros,Ja'Marr Chase,CIN,10
2,RB1,,3.0,2.0,2.5,2025-08-15 10:46:11,FantasyPros,Bijan Robinson,ATL,5
3,RB2,,2.0,4.0,3.0,2025-08-15 10:46:11,FantasyPros,Saquon Barkley,PHI,9
4,RB3,,5.0,3.0,4.0,2025-08-15 10:46:11,FantasyPros,Jahmyr Gibbs,DET,8
5,WR2,,4.0,6.0,5.0,2025-08-15 10:46:11,FantasyPros,Justin Jefferson,MIN,6
6,WR3,,6.0,5.0,5.5,2025-08-15 10:46:11,FantasyPros,CeeDee Lamb,DAL,10
7,WR4,,7.0,10.0,8.5,2025-08-15 10:46:11,FantasyPros,Puka Nacua,LAR,8
8,WR5,,9.0,9.0,9.0,2025-08-15 10:46:11,FantasyPros,Malik Nabers,NYG,14
9,WR6,,8.0,11.0,9.5,2025-08-15 10:46:11,FantasyPros,Amon-Ra St. Brown,DET,8
10,RB4,,11.0,8.0,9.5,2025-08-15 10:46:11,FantasyPros,Ashton Jeanty,LV,8
11,RB5,,14.0,7.0,10.5,2025-08-15 10:46:11,FantasyPros,Christian McCaffrey,SF,14
12,RB6,,10.0,13.0,11.5,2025-08-15 10:46:11,FantasyPros,Derrick Henry,BAL,7
13,WR7,,12.0,15.0,13.5,2025-08-15 10:46:11,FantasyPros,Nico Collins,HOU,6
14,WR8,,13.0,14.0,13.5,2025-08-15 10:46:11,FantasyPros,Brian Thomas Jr.,JAC,8
15,RB7,,16.0,12.0,14.0,2025-08-15 10:46:11,FantasyPros,De'Von Achane,MIA,12
16,TE1,,15.0,19.0,17.0,2025-08-15 10:46:11,FantasyPros,Brock Bowers,LV,8
17,RB8,,17.0,18.0,17.5,2025-08-15 10:46:11,FantasyPros,Bucky Irving,TB,9
18,RB9,,20.0,16.0,18.0,2025-08-15 10:46:11,FantasyPros,Josh Jacobs,GB,5
19,WR9,,18.0,20.0,19.0,2025-08-15 10:46:11,FantasyPros,Drake London,ATL,5
20,WR10,,19.0,25.0,22.0,2025-08-15 10:46:11,FantasyPros,A.J. Brown,PHI,9
21,RB10,,23.0,21.0,22.0,2025-08-15 10:46:11,FantasyPros,Jonathan Taylor,IND,11
22,RB11,,28.0,17.0,22.5,2025-08-15 10:46:11,FantasyPros,Chase Brown,CIN,10
23,QB1,,22.0,23.0,22.5,2025-08-15 10:46:11,FantasyPros,Josh Allen,BUF,7
24,QB2,,25.0,22.0,23.5,2025-08-15 10:46:11,FantasyPros,Lamar Jackson,BAL,7
25,WR11,,21.0,29.0,25.0,2025-08-15 10:46:11,FantasyPros,Ladd McConkey,LAC,12
26,TE2,,24.0,27.0,25.5,2025-08-15 10:46:11,FantasyPros,Trey McBride,ARI,8
27,RB12,,27.0,24.0,25.5,2025-08-15 10:46:11,FantasyPros,Kyren Williams,LAR,8
28,WR12,,29.0,26.0,27.5,2025-08-15 10:46:11,FantasyPros,Tyreek Hill,MIA,12
29,QB3,,30.0,30.0,30.0,2025-08-15 10:46:11,FantasyPros,Jayden Daniels,WAS,12
30,WR13,,26.0,35.0,30.5,2025-08-15 10:46:11,FantasyPros,Jaxon Smith-Njigba,SEA,8
31,RB13,,33.0,28.0,30.5,2025-08-15 10:46:11,FantasyPros,Breece Hall,NYJ,9
32,WR14,,31.0,36.0,33.5,2025-08-15 10:46:11,FantasyPros,Tee Higgins,CIN,10
33,WR15,,32.0,37.0,34.5,2025-08-15 10:46:11,FantasyPros,Garrett Wilson,NYJ,9
34,RB14,,35.0,34.0,34.5,2025-08-15 10:46:11,FantasyPros,James Cook,BUF,7
35,RB15,,39.0,31.0,35.0,2025-08-15 10:46:11,FantasyPros,Omarion Hampton,LAC,12
36,QB4,,43.0,32.0,37.5,2025-08-15 10:46:11,FantasyPros,Joe Burrow,CIN,10
37,RB16,,44.0,33.0,38.5,2025-08-15 10:46:11,FantasyPros,Alvin Kamara,NO,11
38,WR16,,36.0,43.0,39.5,2025-08-15 10:46:11,FantasyPros,Marvin Harrison Jr.,ARI,8
39,TE3,,38.0,42.0,40.0,2025-08-15 10:46:11,FantasyPros,George Kittle,SF,14
40,QB5,,40.0,40.0,40.0,2025-08-15 10:46:11,FantasyPros,Jalen Hurts,PHI,9
41,WR17,,34.0,47.0,40.5,2025-08-15 10:46:11,FantasyPros,Terry McLaurin,WAS,12
42,WR18,,42.0,39.0,40.5,2025-08-15 10:46:11,FantasyPros,Davante Adams,LAR,8
43,RB17,,45.0,38.0,41.5,2025-08-15 10:46:11,FantasyPros,Kenneth Walker,III,
44,WR19,,37.0,48.0,42.5,2025-08-15 10:46:11,FantasyPros,Mike Evans,TB,9
45,RB18,,47.0,41.0,44.0,2025-08-15 10:46:11,FantasyPros,Chuba Hubbard,CAR,14
46,WR20,,48.0,45.0,46.5,2025-08-15 10:46:11,FantasyPros,DJ Moore,CHI,5
47,WR21,,41.0,56.0,48.5,2025-08-15 10:46:11,FantasyPros,Rashee Rice,KC,10
48,RB19,,51.0,49.0,50.0,2025-08-15 10:46:11,FantasyPros,James Conner,ARI,8
49,WR22,,49.0,51.0,50.0,2025-08-15 10:46:11,FantasyPros,DK Metcalf,PIT,5
50,WR23,,50.0,50.0,50.0,2025-08-15 10:46:11,FantasyPros,Courtland Sutton,DEN,12
51,RB20,,63.0,44.0,53.5,2025-08-15 10:46:11,FantasyPros,TreVeyon Henderson,NE,14
52,WR24,,54.0,55.0,54.5,2025-08-15 10:46:11,FantasyPros,DeVonta Smith,PHI,9
53,RB21,,58.0,52.0,55.0,2025-08-15 10:46:11,FantasyPros,RJ Harvey,DEN,12
54,TE4,,52.0,61.0,56.5,2025-08-15 10:46:11,FantasyPros,Sam LaPorta,DET,8
55,WR25,,60.0,53.0,56.5,2025-08-15 10:46:11,FantasyPros,Tetairoa McMillan,CAR,14
56,RB22,,55.0,59.0,57.0,2025-08-15 10:46:11,FantasyPros,David Montgomery,DET,8
57,RB23,,46.0,70.0,58.0,2025-08-15 10:46:11,FantasyPros,Joe Mixon,HOU,6
58,QB6,,64.0,54.0,59.0,2025-08-15 10:46:11,FantasyPros,Patrick Mahomes,II,
59,RB24,,75.0,46.0,60.5,2025-08-15 10:46:11,FantasyPros,D'Andre Swift,CHI,5
60,WR26,,56.0,65.0,60.5,2025-08-15 10:46:11,FantasyPros,Xavier Worthy,KC,10
61,WR27,,57.0,66.0,61.5,2025-08-15 10:46:11,FantasyPros,Jameson Williams,DET,8
62,WR28,,53.0,71.0,62.0,2025-08-15 10:46:11,FantasyPros,Zay Flowers,BAL,7
63,RB25,,62.0,62.0,62.0,2025-08-15 10:46:11,FantasyPros,Isiah Pacheco,KC,10
64,RB26,,67.0,60.0,63.5,2025-08-15 10:46:11,FantasyPros,Aaron Jones Sr.,MIN,6
65,WR29,,61.0,68.0,64.5,2025-08-15 10:46:11,FantasyPros,George Pickens,DAL,10
