UNNAMED:_0_LEVEL_0_PLAYER,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,MISC_FL,MISC_FPTS,POSITION,SCRAPE_DATE
Brock Bowers LV,106.0,1131.5,6.1,0.5,149.7,TE,2025-08-14 15:04:33
George Kittle SF,76.1,1037.1,7.5,0.5,147.6,TE,2025-08-14 15:04:33
Trey McBride ARI,104.4,1053.3,5.8,0.5,139.4,TE,2025-08-14 15:04:33
Mark Andrews BAL,59.9,721.0,7.8,0.8,117.3,TE,2025-08-14 15:04:33
Sam LaPorta DET,67.9,763.9,6.7,0.4,115.6,TE,2025-08-14 15:04:33
Travis Kelce KC,81.0,769.0,5.3,0.9,106.9,TE,2025-08-14 15:04:33
T.J. Hockenson MIN,76.3,799.2,4.6,0.5,106.6,TE,2025-08-14 15:04:33
David Njoku CLE,76.5,731.5,4.8,0.8,100.4,TE,2025-08-14 15:04:33
Tucker Kraft GB,55.2,652.9,4.8,0.8,92.5,TE,2025-08-14 15:04:33
Tyler Warren IND,57.9,647.5,4.3,1.1,88.6,TE,2025-08-14 15:04:33
Dallas Goedert PHI,57.2,633.4,3.9,0.5,85.8,TE,2025-08-14 15:04:33
Zach Ertz WAS,58.1,539.5,5.1,0.1,84.2,TE,2025-08-14 15:04:33
Dalton Kincaid BUF,57.1,603.2,4.0,0.5,83.6,TE,2025-08-14 15:04:33
Evan Engram DEN,69.1,614.2,4.0,0.9,83.4,TE,2025-08-14 15:04:33
Kyle Pitts Sr. ATL,47.8,602.0,3.8,0.1,83.1,TE,2025-08-14 15:04:33
Jake Ferguson DAL,67.8,622.2,3.8,1.2,82.6,TE,2025-08-14 15:04:33
Hunter Henry NE,55.0,572.4,3.6,0.4,78.3,TE,2025-08-14 15:04:33
Darren Waller MIA,52.6,579.4,3.4,0.1,77.9,TE,2025-08-14 15:04:33
Isaiah Likely BAL,41.4,495.5,4.8,0.7,77.0,TE,2025-08-14 15:04:33
Jonnu Smith PIT,52.2,544.5,4.0,0.9,76.7,TE,2025-08-14 15:04:33
Colston Loveland CHI,52.8,554.1,3.8,0.8,76.5,TE,2025-08-14 15:04:33
Cade Otton TB,52.3,532.3,4.0,0.5,76.0,TE,2025-08-14 15:04:33
Brenton Strange JAC,55.3,548.8,3.3,0.5,73.6,TE,2025-08-14 15:04:33
Mike Gesicki CIN,52.8,518.3,3.6,0.4,72.7,TE,2025-08-14 15:04:33
