UNNAMED:_0_LEVEL_0_PLAYER,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,RUSHING_ATT,RUSHING_YDS,RUSHING_TDS,MISC_FL,MISC_FPTS,POSITION,SCRAPE_DATE
Ja'Marr Chase CIN,120.7,1577.7,12.2,1.6,12.7,0.0,0.6,231.2,WR,2025-08-14 15:04:30
Justin Jefferson MIN,106.4,1478.9,9.7,0.5,2.2,0.0,0.6,205.1,WR,2025-08-14 15:04:30
CeeDee Lamb DAL,111.7,1394.4,8.0,9.2,59.4,0.3,1.0,193.3,WR,2025-08-14 15:04:30
Puka Nacua LAR,105.7,1374.2,7.0,10.7,61.4,0.6,0.6,187.7,WR,2025-08-14 15:04:30
Nico Collins HOU,92.0,1313.4,8.9,0.0,1.6,0.0,0.5,183.5,WR,2025-08-14 15:04:30
Malik Nabers NYG,106.6,1338.5,8.2,2.6,12.2,0.0,0.6,183.3,WR,2025-08-14 15:04:30
Brian Thomas Jr. JAC,91.8,1292.7,8.6,3.8,25.1,0.0,0.6,182.1,WR,2025-08-14 15:04:30
Amon-Ra St. Brown DET,110.4,1267.7,9.1,1.9,12.6,0.1,0.9,180.9,WR,2025-08-14 15:04:30
A.J. Brown PHI,84.8,1244.7,8.4,0.0,0.0,0.0,0.9,172.8,WR,2025-08-14 15:04:30
Drake London ATL,95.5,1217.7,8.2,0.3,2.0,0.0,0.6,169.8,WR,2025-08-14 15:04:30
Tyreek Hill MIA,94.2,1184.3,7.7,7.2,40.3,0.1,0.6,168.4,WR,2025-08-14 15:04:30
Mike Evans TB,79.2,1063.4,9.9,0.0,0.0,0.0,0.5,164.5,WR,2025-08-14 15:04:30
Ladd McConkey LAC,90.5,1210.9,7.4,0.0,1.4,0.0,0.7,164.0,WR,2025-08-14 15:04:30
Tee Higgins CIN,86.6,1093.9,8.9,0.0,0.0,0.0,0.9,161.1,WR,2025-08-14 15:04:30
Terry McLaurin WAS,83.6,1115.4,8.2,1.1,4.8,0.0,0.9,159.7,WR,2025-08-14 15:04:30
Davante Adams LAR,85.4,1101.6,8.3,0.3,0.0,0.0,0.5,159.2,WR,2025-08-14 15:04:30
DK Metcalf PIT,77.8,1137.9,7.3,0.0,1.2,0.0,1.3,154.9,WR,2025-08-14 15:04:30
Marvin Harrison Jr. ARI,79.6,1098.9,7.7,0.0,3.2,0.0,1.0,154.5,WR,2025-08-14 15:04:30
Jaxon Smith-Njigba SEA,94.7,1121.1,6.6,2.6,20.5,0.0,0.6,152.8,WR,2025-08-14 15:04:30
Xavier Worthy KC,70.6,874.0,7.1,15.7,84.6,1.5,0.5,146.5,WR,2025-08-14 15:04:30
Zay Flowers BAL,74.9,1028.7,6.3,8.2,48.4,0.1,0.5,145.2,WR,2025-08-14 15:04:30
Garrett Wilson NYJ,91.7,1095.7,6.0,1.9,13.5,0.0,1.3,144.5,WR,2025-08-14 15:04:30
Courtland Sutton DEN,76.7,1016.3,7.4,0.0,0.2,0.0,0.9,144.3,WR,2025-08-14 15:04:30
DJ Moore CHI,86.7,1007.7,6.3,9.5,54.0,0.1,0.9,142.7,WR,2025-08-14 15:04:30
Calvin Ridley TEN,70.1,1027.0,6.0,5.6,33.4,0.3,0.9,141.9,WR,2025-08-14 15:04:30
Jameson Williams DET,60.4,958.3,6.0,7.4,63.4,0.8,0.5,141.6,WR,2025-08-14 15:04:30
DeVonta Smith PHI,81.2,977.7,6.8,0.3,1.2,0.0,0.5,137.7,WR,2025-08-14 15:04:30
George Pickens DAL,68.4,1001.7,6.4,1.0,6.2,0.0,0.9,137.3,WR,2025-08-14 15:04:30
Deebo Samuel Sr. WAS,65.1,834.5,5.1,30.1,127.9,1.2,1.0,132.2,WR,2025-08-14 15:04:30
Jerry Jeudy CLE,80.8,1081.7,4.1,0.3,4.8,0.0,0.6,131.8,WR,2025-08-14 15:04:30
Jakobi Meyers LV,82.4,966.4,5.3,1.2,8.9,0.0,0.5,128.5,WR,2025-08-14 15:04:30
Jaylen Waddle MIA,75.5,965.0,4.9,2.5,15.9,0.1,0.5,126.6,WR,2025-08-14 15:04:30
Jauan Jennings SF,69.7,919.4,5.5,3.6,15.7,0.1,0.6,125.8,WR,2025-08-14 15:04:30
